               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10093,             0.02949,                   0,            0.093863,             0.28205,             0.10834,            0.023192,            0.044574,            0.015938,                   0,              0.0748,              0.0028,              0.0028
                   1,            0.062685,            0.024815,                   0,             0.47745,             0.46154,             0.49176,             0.27363,            0.038442,            0.010268,                   0,            0.048644,           0.0056436,           0.0056436
                   2,            0.056116,            0.019509,                   0,             0.70948,             0.75156,             0.71268,             0.47046,            0.032944,           0.0059464,                   0,             0.02243,           0.0084297,           0.0084297
                   3,            0.054986,            0.017048,                   0,              0.3344,             0.28205,             0.18912,            0.097912,            0.031123,           0.0081593,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.048886,            0.017406,                   0,             0.44303,              0.5641,             0.39113,             0.18212,            0.031548,           0.0061276,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.051327,            0.016007,                   0,             0.92091,             0.92308,             0.93912,             0.56873,             0.02432,           0.0061364,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.045346,            0.015104,                   0,             0.88936,             0.92308,             0.96216,             0.61893,             0.02117,           0.0050012,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.040306,            0.015477,                   0,             0.91783,             0.82051,             0.92065,             0.60973,            0.021234,           0.0038359,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.038079,            0.014359,                   0,             0.84773,             0.71795,             0.87346,             0.59647,             0.02329,           0.0052694,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.033579,            0.012994,                   0,             0.92669,             0.76923,             0.93145,             0.65437,            0.019373,           0.0039213,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.033826,            0.012665,                   0,             0.94416,             0.97436,             0.97566,             0.73209,            0.014985,           0.0039104,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.032402,            0.011914,                   0,             0.97459,             0.98345,              0.9945,             0.66874,            0.016602,           0.0038821,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.03202,            0.012035,                   0,             0.99032,                   1,               0.995,             0.76521,            0.013612,           0.0029873,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.034795,            0.012006,                   0,                   1,             0.99441,               0.995,             0.80001,            0.016849,           0.0030898,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.02987,            0.011357,                   0,             0.99904,                   1,               0.995,              0.7994,            0.012769,           0.0031542,                   0,            0.008713,            0.008713,            0.008713
