               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11884,            0.029965,                   0,           0.0024242,             0.72727,           0.0039728,          0.00090543,            0.078511,            0.021873,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.10263,            0.029221,                   0,            0.018754,             0.81818,            0.048409,            0.013013,            0.052765,            0.020078,                   0,            0.086485,           0.0014851,           0.0014851
                   2,            0.084883,            0.028878,                   0,             0.64245,            0.090909,             0.21463,            0.070658,            0.045477,            0.018689,                   0,            0.079254,           0.0022545,           0.0022545
                   3,            0.072514,            0.028317,                   0,              0.4249,              0.8065,             0.57682,             0.12559,             0.04371,            0.016674,                   0,            0.072008,           0.0030079,           0.0030079
                   4,            0.066518,            0.025592,                   0,             0.32019,             0.63636,             0.45707,             0.10343,            0.044823,            0.014924,                   0,            0.064746,           0.0037456,           0.0037456
                   5,            0.062014,            0.022715,                   0,             0.49998,                   1,             0.74564,             0.21205,            0.041644,            0.015448,                   0,            0.057467,           0.0044673,           0.0044673
                   6,            0.061198,            0.020661,                   0,             0.61202,             0.72727,               0.755,             0.34662,            0.039087,            0.014794,                   0,            0.050173,           0.0051733,           0.0051733
                   7,            0.057031,            0.019044,                   0,              0.3877,             0.90909,             0.50306,             0.29388,            0.041145,             0.01196,                   0,            0.042863,           0.0058634,           0.0058634
                   8,            0.054682,             0.01835,                   0,             0.71099,             0.54545,             0.73574,             0.37624,            0.037444,            0.011118,                   0,            0.035538,           0.0065377,           0.0065377
                   9,            0.054103,            0.019445,                   0,             0.39751,             0.90909,             0.50653,             0.24713,            0.044171,           0.0095377,                   0,            0.028196,           0.0071961,           0.0071961
                  10,            0.053591,            0.016837,                   0,             0.48328,             0.90909,             0.65536,             0.23512,            0.036627,           0.0087233,                   0,            0.020839,           0.0078387,           0.0078387
                  11,            0.056204,            0.015593,                   0,             0.62518,             0.90909,             0.86403,             0.50649,            0.028855,           0.0084846,                   0,            0.013465,           0.0084655,           0.0084655
                  12,            0.049965,            0.016326,                   0,             0.70806,             0.90909,             0.88593,             0.53725,            0.029269,           0.0082419,                   0,            0.008812,            0.008812,            0.008812
                  13,            0.049717,             0.01501,                   0,             0.86604,             0.81818,             0.91573,              0.6422,            0.030996,           0.0073805,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.047492,            0.016264,                   0,             0.95542,                   1,               0.995,             0.36448,            0.034067,           0.0068059,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.041555,            0.016116,                   0,             0.90789,             0.89711,             0.94645,             0.22059,            0.038042,           0.0066433,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.046382,            0.013576,                   0,             0.91543,                   1,               0.995,             0.49041,            0.025408,           0.0063345,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.044151,              0.0138,                   0,              0.8188,             0.90909,             0.87037,             0.48454,            0.021932,           0.0059433,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.04178,            0.013531,                   0,              0.9771,                   1,               0.995,             0.43172,            0.025299,            0.005029,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.039428,            0.013553,                   0,             0.98006,                   1,               0.995,             0.45125,            0.025227,           0.0046654,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.03654,            0.012158,                   0,                   1,             0.99131,               0.995,             0.59066,            0.019269,           0.0046072,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.037812,            0.010552,                   0,              0.8714,             0.81818,             0.94824,             0.46258,            0.023359,           0.0047367,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.036405,            0.012791,                   0,                   1,              0.8945,             0.98115,             0.51807,            0.021803,           0.0044625,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.034236,            0.011964,                   0,             0.84241,                   1,             0.96479,             0.60971,            0.018539,           0.0040319,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.035636,            0.010756,                   0,             0.90941,                   1,                0.95,             0.72658,            0.018411,           0.0038505,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.037401,             0.01021,                   0,             0.85036,                   1,                0.98,             0.61048,            0.016815,           0.0034237,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.033525,            0.009632,                   0,              0.9829,                   1,               0.995,             0.66912,            0.016921,           0.0031242,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.031207,            0.010681,                   0,             0.90176,                   1,                0.98,             0.46918,            0.018048,           0.0031235,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.030351,            0.010759,                   0,             0.98971,                   1,               0.995,             0.61331,            0.019719,           0.0031517,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.035332,            0.009493,                   0,             0.99273,                   1,               0.995,             0.58493,            0.021837,           0.0031705,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.03345,            0.009635,                   0,             0.99286,                   1,               0.995,             0.75076,            0.016279,            0.003047,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.028575,           0.0094632,                   0,             0.99338,                   1,               0.995,              0.6633,            0.012802,           0.0031409,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.029866,           0.0094059,                   0,             0.99375,                   1,               0.995,             0.70604,            0.014417,           0.0030866,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.027727,           0.0091213,                   0,             0.99359,                   1,               0.995,             0.65427,            0.016866,            0.003103,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.030606,            0.010236,                   0,             0.99263,                   1,               0.995,             0.73231,            0.015812,           0.0031152,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.026539,           0.0085492,                   0,             0.99243,                   1,               0.995,             0.82137,            0.013755,           0.0029747,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.026905,           0.0081979,                   0,             0.99328,                   1,               0.995,              0.7812,            0.012932,           0.0030885,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.027523,           0.0096072,                   0,             0.99375,                   1,               0.995,             0.76249,             0.01119,           0.0029757,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.024586,           0.0089273,                   0,              0.9929,                   1,               0.995,             0.61933,            0.016881,           0.0029125,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.025118,           0.0095361,                   0,             0.99326,                   1,               0.995,             0.73973,            0.012992,            0.002718,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.023934,           0.0078472,                   0,             0.88656,                   1,              0.9725,             0.60891,            0.014998,           0.0027182,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.02705,           0.0086742,                   0,              0.9936,                   1,               0.995,             0.69859,            0.013125,           0.0026395,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.026546,           0.0076438,                   0,             0.99376,                   1,               0.995,             0.77542,            0.010276,           0.0025487,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.024347,           0.0078638,                   0,             0.99402,                   1,               0.995,             0.83977,             0.00988,           0.0025318,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.025461,           0.0078904,                   0,             0.99397,                   1,               0.995,             0.84906,            0.010481,           0.0024457,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.023534,           0.0074761,                   0,             0.99362,                   1,               0.995,             0.83892,            0.011504,           0.0024638,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.022829,            0.007851,                   0,             0.99419,                   1,               0.995,             0.76762,            0.011572,           0.0024533,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.022633,           0.0080744,                   0,             0.99412,                   1,               0.995,             0.80765,            0.010718,           0.0025127,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.023469,           0.0077574,                   0,             0.99434,                   1,               0.995,             0.81463,            0.010823,           0.0024536,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.022425,           0.0078698,                   0,             0.99371,                   1,               0.995,             0.79654,            0.013177,           0.0026777,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.022648,           0.0081364,                   0,             0.99355,                   1,               0.995,             0.76067,            0.012724,           0.0026698,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.02308,           0.0081673,                   0,              0.9936,                   1,               0.995,             0.80159,            0.011818,            0.002809,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.020491,            0.007121,                   0,              0.9936,                   1,               0.995,             0.70369,           0.0095002,           0.0024228,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.022416,            0.007478,                   0,             0.99443,                   1,               0.995,             0.86062,           0.0089215,           0.0025601,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.020488,           0.0079653,                   0,             0.99433,                   1,               0.995,             0.92163,           0.0071604,           0.0023561,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.020183,            0.007185,                   0,             0.99437,                   1,               0.995,              0.8876,           0.0094371,           0.0023019,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.020381,            0.007582,                   0,             0.99431,                   1,               0.995,             0.88905,           0.0084296,            0.002332,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.02095,           0.0078493,                   0,             0.99441,                   1,               0.995,             0.88328,           0.0095407,            0.002429,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.021075,            0.007639,                   0,             0.99423,                   1,               0.995,             0.88708,           0.0086002,           0.0023661,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.018435,           0.0069569,                   0,             0.99438,                   1,               0.995,             0.92171,           0.0079125,           0.0024118,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.017749,           0.0073072,                   0,              0.9943,                   1,               0.995,             0.91666,           0.0072418,           0.0021458,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.017959,           0.0070911,                   0,             0.99471,                   1,               0.995,             0.90557,           0.0087406,           0.0021732,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.017323,           0.0067072,                   0,             0.99438,                   1,               0.995,             0.92427,           0.0088719,           0.0022104,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.020906,           0.0064381,                   0,             0.99416,                   1,               0.995,             0.87407,           0.0088635,           0.0021591,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.019579,           0.0075482,                   0,             0.99422,                   1,               0.995,             0.89254,           0.0077876,           0.0022457,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.02006,           0.0077134,                   0,             0.99412,                   1,               0.995,              0.9099,           0.0070452,           0.0020876,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.018753,           0.0071368,                   0,             0.99426,                   1,               0.995,             0.88597,             0.00974,           0.0021319,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.016901,           0.0065925,                   0,             0.99402,                   1,               0.995,             0.81089,            0.011217,           0.0021374,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.015329,           0.0069226,                   0,             0.99439,                   1,               0.995,             0.93509,           0.0082027,           0.0021243,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.018062,           0.0061117,                   0,              0.9946,                   1,               0.995,             0.87925,           0.0085753,           0.0020871,                   0,            0.003268,            0.003268,            0.003268
